CustomerID,NumTransactions,TotalQuantity,TotalSpent,Cluster
12347.0,7,2137,3653.4500000000003,2
12348.0,4,2332,1437.24,2
12349.0,1,611,1372.42,0
12350.0,1,168,258.0,0
12352.0,7,516,1373.24,2
12353.0,1,20,89.0,0
12354.0,1,526,1062.8,0
12355.0,1,210,363.1,0
12356.0,3,1493,2406.63,0
12357.0,1,2378,5301.97,2
12358.0,2,142,341.86,0
12359.0,4,1517,6142.53,2
12360.0,3,1110,2118.36,0
12361.0,1,90,174.9,0
12362.0,10,2097,4520.27,2
12363.0,2,408,552.0,0
12364.0,4,1393,1133.4,0
12365.0,1,164,283.94,0
12367.0,1,172,150.9,0
12370.0,4,2120,2971.71,2
12371.0,1,502,1269.56,0
12372.0,3,713,1164.54,0
12373.0,1,186,305.1,0
12374.0,1,337,589.03,0
12375.0,2,144,286.1,0
12377.0,2,918,1460.52,0
12378.0,1,2434,3794.32,2
12379.0,2,388,739.84,0
12380.0,4,1030,2191.51,0
12381.0,3,724,1408.15,0
12383.0,5,1482,1498.36,2
12384.0,2,105,371.62,0
12386.0,2,354,401.9,0
12388.0,6,1327,2524.91,2
12390.0,1,325,494.34000000000003,0
12391.0,1,256,399.18,0
12393.0,4,800,1521.0,0
12394.0,2,808,1080.48,0
12395.0,12,2082,2645.78,2
12397.0,2,1246,2199.9,0
12398.0,1,1331,1381.46,0
12399.0,4,1161,1018.65,0
12401.0,1,3,36.45,0
12402.0,1,82,176.1,0
12403.0,1,2,9.9,0
12405.0,1,751,1193.41,0
12406.0,2,1698,2930.9,0
12407.0,5,957,1309.3,0
12408.0,5,1289,2538.45,2
12409.0,3,5149,10223.27,2
12410.0,2,207,533.33,0
12412.0,3,791,1091.67,0
12413.0,3,246,589.3,0
12414.0,3,248,263.76,0
12417.0,9,1377,2936.05,2
12418.0,1,401,635.88,0
12420.0,1,342,585.54,0
12421.0,4,440,516.74,0
12422.0,3,345,654.1,0
12423.0,8,1032,1422.27,2
12424.0,2,740,1760.96,0
12425.0,1,438,727.36,0
12426.0,1,229,508.23,0
12427.0,3,526,699.8,0
